Horodateur,"Ce questionnaire est réalisé par des étudiants de Master 2 de l'ISPM dans le cadre d'un examen académique (projet ORIENT'IA, un assistant d'aide à l'orientation).

Il est entièrement anonyme : aucun nom, e-mail ou numéro de téléphone n'est collecté. Vos réponses seront utilisées uniquement dans le cadre de ce projet, sous forme anonymisée. Vous pouvez arrêter de répondre à tout moment. Répondre prend moins de 5 minutes.",Consentement (obligatoire),Quelle était votre série de bac ?,Quelles étaient vos matières préférées au lycée ? (3 max),Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Mathématiques],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Sciences expérimentales],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Langues et communication],Votre niveau dans ces domaines à la fin du lycée ? (1 = faible → 5 = excellent) [Économie-gestion],Quelles compétences aviez-vous au moment de choisir vos études supérieures ?,Quels étaient vos centres d'intérêt à cette époque ? (4 max),"Aviez-vous déjà réalisé des projets ou activités marquants (club, association, petit business, compétition…) ?",Quel environnement de travail recherchiez-vous ?,Quel type de métier visiez-vous ? (2 max),"Aujourd'hui, vous êtes… ?",Quelle filière / quel parcours suivez-vous actuellement ?,En quelle année d'étude êtes-vous ?,À quel point êtes-vous satisfait(e) de votre choix de filière ?,"Si c'était à refaire, choisiriez-vous la même filière ?",Quelle filière / quel domaine d'études avez-vous suivi ?,Quel métier exercez-vous aujourd'hui ?,Depuis combien d'années travaillez-vous ?,"Avec le recul, votre formation était-elle adaptée au métier que vous exercez ?","Avec le recul, auriez-vous choisi une autre filière ?"
26/08/2026 13:45:41,d'accord ,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, SVT, Sport",3,3,4,2,"Analyse de données / logique, Rédaction / communication, Créativité / design, Organisation / gestion de projet","Sciences, Art / design / audiovisuel, Santé / social, Autre",non,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,3,Pas sûr(e),,,,,
26/08/2026 13:47:05,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Langues étrangères",3,2,4,2,Organisation / gestion de projet,"Technologie / informatique, Communication / médias, Autre",Competition,Bureau,Gestion / management,Professionnel(le) en activité,,,,,Anglais,Traductrice,8 à 15 ans,3,"Non, le même choix"
26/08/2026 13:47:16,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT, Langues étrangères",3,4,4,3,"Rédaction / communication, Créativité / design, Travail en équipe, Autre","Technologie / informatique, Sciences, Tourisme / hôtellerie",Oui,Bureau,"Technique / ingénierie, Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",L3,4,Pas sûr(e),,,,,
26/08/2026 13:47:21,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Mathématiques,3,3,3,3,Analyse de données / logique,Technologie / informatique,,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,3,Oui,,,,,
26/08/2026 13:47:26,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT, Sport",3,4,3,2,"Analyse de données / logique, Rédaction / communication","Technologie / informatique, Finance / comptabilité, Communication / médias",Non,Bureau,Technique / ingénierie,Professionnel(le) en activité,,,,,Informatique ,Développeur ,Moins de 3 ans,4,"Non, le même choix"
26/08/2026 13:49:06,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,Physique-Chimie,4,1,4,1,Autre,Sciences,Non,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,M2,3,Oui,,,,,
26/08/2026 13:49:21,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Mathématiques,3,4,2,1,Autre,"Technologie / informatique, Entrepreneuriat / business, Droit / justice, Autre",Non,Mixte / peu importe,"Entrepreneur / indépendant, Je ne sais pas encore",Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",L2,1,Pas sûr(e),,,,,
26/08/2026 13:51:28,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, SVT, Sport",4,3,3,3,Créativité / design,"Technologie / informatique, Santé / social",Oui,Bureau,"Technique / ingénierie, Gestion / management",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,3,Non,,,,,
26/08/2026 13:51:47,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"SVT, Français / Littérature, Sport",3,2,4,1,Rédaction / communication,Agriculture / environnement,Non ,Terrain / extérieur,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,Diplômé(e) depuis moins de 3 ans,5,Oui,,,,,
26/08/2026 13:52:30,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Physique-Chimie,3,1,2,1,Autre,Autre,,Mixte / peu importe,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"ESIIA — Électronique, Systèmes Informatiques et IA",M2,3,Pas sûr(e),,,,,
26/08/2026 13:53:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,SVT,1,4,3,2,"Rédaction / communication, Travail en équipe","Sciences, Santé / social",Oui,Laboratoire,"Recherche / enseignement, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,PIP — Pharmacologie et Industries Pharmaceutiques,M2,5,Oui,,,,,
26/08/2026 13:56:35,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie, SVT, Informatique / Technologie",4,4,3,3,Programmation,"Technologie / informatique, Sciences, Entrepreneuriat / business",Site web Hôtel ,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Informatique de Gestion ,Chef de projet Informatique ,3 à 7 ans,4,"Non, le même choix"
26/08/2026 13:57:31,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,Sport,2,2,1,1,"Programmation, Créativité / design, Organisation / gestion de projet, Travail en équipe","Sciences, Art / design / audiovisuel, Autre",,Bureau,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",L3,3,Oui,,,,,
26/08/2026 13:58:48,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, Sport",3,3,4,3,"Programmation, Électronique / bricolage technique","Technologie / informatique, Sciences, Autre",,Bureau,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,"ESIIA — Électronique, Systèmes Informatiques et IA",M2,4,Oui,,,,,
26/08/2026 13:59:30,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Physique-Chimie, SVT, Sport",3,5,4,4,"Vente / négociation, Travail en équipe, Autre","Entrepreneuriat / business, Finance / comptabilité, Communication / médias, Autre",Petit business et associations ,Mixte / peu importe,"Gestion / management, Commerce / relation client, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Gestion et management ,Entrepreneur ,3 à 7 ans,3,Pas sûr(e)
26/08/2026 14:00:28,"Réponse :

Je confirme avoir pris connaissance des informations présentées et j’accepte de participer à ce questionnaire dans le cadre du projet académique ORIENT’IA.",J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Informatique / Technologie",3,2,3,2,"Programmation, Analyse de données / logique, Créativité / design, Organisation / gestion de projet, Travail en équipe","Technologie / informatique, Entrepreneuriat / business, Finance / comptabilité, Art / design / audiovisuel","Oui, j’ai réalisé plusieurs projets dans le domaine informatique, notamment des projets de développement web et de conception d’interfaces. J’ai également participé à des projets universitaires en groupe, ce qui m’a permis de développer mes compétences en programmation, en travail d’équipe et en gestion de projet.",Bureau,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M1,4,Oui,,,,,
26/08/2026 14:01:08,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, Sport",3,3,3,3,Programmation,Technologie / informatique,,Bureau,"Technique / ingénierie, Recherche / enseignement",Professionnel(le) en activité,,,,,Informatique ,Informaticien ,3 à 7 ans,4,Pas sûr(e)
26/08/2026 14:01:32,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Langues étrangères, Histoire-Géographie, Économie / Gestion, Arts",2,3,3,3,"Analyse de données / logique, Rédaction / communication, Organisation / gestion de projet","Art / design / audiovisuel, Autre",Non,Terrain / extérieur,"Gestion / management, Création / design, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,EMP — Économie et Management de Projet,M2,5,Non,,,,,
26/08/2026 14:04:35,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Français / Littérature",4,3,4,3,"Analyse de données / logique, Rédaction / communication, Organisation / gestion de projet","Art / design / audiovisuel, Droit / justice, Autre",,Mixte / peu importe,"Technique / ingénierie, Gestion / management",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,4,Non,,,,,
26/08/2026 14:07:53,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,Technique génie civil,"Physique-Chimie, Histoire-Géographie",2,2,3,2,"Travail en équipe, Autre",BTP / construction,"Oui, projet scolaire",Mixte / peu importe,"Technique / ingénierie, Gestion / management, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,GCA — Génie Civil et Architecture,M2,5,Oui,,,,,
26/08/2026 14:10:02,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,L,"Français / Littérature, Langues étrangères, Histoire-Géographie",1,1,5,2,"Rédaction / communication, Vente / négociation","Art / design / audiovisuel, Tourisme / hôtellerie, Droit / justice",Non,Terrain / extérieur,"Gestion / management, Création / design, Commerce / relation client",Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,L3,5,Oui,,,,,
26/08/2026 14:11:42,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie",4,3,3,3,Analyse de données / logique,"Entrepreneuriat / business, Agriculture / environnement",,Terrain / extérieur,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,GCA — Génie Civil et Architecture,M2,4,Oui,,,,,
26/08/2026 14:12:07,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Physique-Chimie, SVT, Arts",1,3,2,3,"Vente / négociation, Travail en équipe","Tourisme / hôtellerie, Agriculture / environnement, BTP / construction",Competition ,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L1,2,Pas sûr(e),,,,,
26/08/2026 14:13:35,Okee,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,Sport,3,1,2,2,"Rédaction / communication, Créativité / design, Travail en équipe","Technologie / informatique, Art / design / audiovisuel, Communication / médias",Non,Bureau,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",M2,4,Non,,,,,
26/08/2026 14:15:33,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT, Informatique / Technologie, Histoire-Géographie, Sport",2,4,3,3,"Programmation, Analyse de données / logique, Travail en équipe","Technologie / informatique, Sciences, Finance / comptabilité, Santé / social",Sport collectif,Mixte / peu importe,"Technique / ingénierie, Commerce / relation client",Étudiant(e) — ou diplômé(e) depuis peu,CAA — Commerce et Administration des Affaires,M1,4,Oui,,,,,
26/08/2026 14:21:51,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Physique-Chimie, Langues étrangères, Sport",1,2,1,2,Autre,Droit / justice,Association ,Atelier / usine,Gestion / management,Étudiant(e) — ou diplômé(e) depuis peu,DTJA — Droit et Techniques Juridiques des Affaires,M2,5,Non,,,,,
26/08/2026 14:21:54,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",4,3,3,2,Créativité / design,"Art / design / audiovisuel, Agriculture / environnement",Oui,Mixte / peu importe,Je ne sais pas encore,Étudiant(e) — ou diplômé(e) depuis peu,EMP — Économie et Management de Projet,M2,4,Oui,,,,,
26/08/2026 14:22:31,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",3,3,3,4,Organisation / gestion de projet,Entrepreneuriat / business,Oui,Mixte / peu importe,"Gestion / management, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Economie et Management de Projet,Entrepreneur ,Moins de 3 ans,3,Oui — laquelle : ___
26/08/2026 14:22:55,Je confirme avoir lu et compris les informations présentées et j’accepte de participer à ce questionnaire,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Physique-Chimie, SVT",2,3,2,3,"Rédaction / communication, Organisation / gestion de projet","Technologie / informatique, Entrepreneuriat / business, Finance / comptabilité, Communication / médias","Oui, j’ai réalisé plusieurs projets universitaires en informatique, notamment des projets de développement web en groupe.",Terrain / extérieur,Gestion / management,Étudiant(e) — ou diplômé(e) depuis peu,"ESIIA — Électronique, Systèmes Informatiques et IA",L3,2,Non,,,,,
26/08/2026 14:23:15,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Mathématiques, Physique-Chimie, SVT",3,3,2,3,"Analyse de données / logique, Rédaction / communication, Organisation / gestion de projet","Sciences, Entrepreneuriat / business, Tourisme / hôtellerie",Oui ,Atelier / usine,Technique / ingénierie,Étudiant(e) — ou diplômé(e) depuis peu,EMII — Électromécanique et Informatique Industrielle,L3,5,Oui,,,,,
26/08/2026 14:24:16,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Physique-Chimie, SVT",3,2,4,3,Analyse de données / logique,"Technologie / informatique, Art / design / audiovisuel",,Bureau,"Technique / ingénierie, Création / design",Étudiant(e) — ou diplômé(e) depuis peu,"IMTICIA — Informatique, Multimédia, TIC et IA",M2,4,Oui,,,,,
26/08/2026 14:26:44,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie, Informatique / Technologie",5,4,5,4,"Programmation, Rédaction / communication","Technologie / informatique, Sciences, Autre",TAMPIKRI,Mixte / peu importe,"Technique / ingénierie, Recherche / enseignement",Professionnel(le) en activité,,,,,ESIIA,Enseignant- Chercheur/ Développeur IA,Plus de 15 ans,5,Pas sûr(e)
26/08/2026 14:27:44,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,S,"Mathématiques, Physique-Chimie, SVT",2,3,2,1,Rédaction / communication,Agriculture / environnement,Je suis depuis quelques années en club de basketball ,Laboratoire,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,L3,4,Oui,,,,,
26/08/2026 14:28:37,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"SVT, Informatique / Technologie, Histoire-Géographie",2,3,3,3,Autre,"Technologie / informatique, Entrepreneuriat / business, Agriculture / environnement",,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Informatique,développeur,Moins de 3 ans,3,"Non, le même choix"
26/08/2026 14:29:58,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Mathématiques, Physique-Chimie, Langues étrangères",4,4,5,1,"Programmation, Analyse de données / logique","Technologie / informatique, Autre",Oui,Mixte / peu importe,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",L2,3,Oui,,,,,
26/08/2026 14:30:43,ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"SVT, Informatique / Technologie, Histoire-Géographie",2,3,5,3,"Analyse de données / logique, Organisation / gestion de projet","Technologie / informatique, Sciences, Finance / comptabilité",oui,Mixte / peu importe,"Technique / ingénierie, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Informatique,Développeur & Devops,3 à 7 ans,4,Oui — laquelle : ___
26/08/2026 14:33:48,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,Mathématiques,4,4,3,2,Autre,Agriculture / environnement,,Terrain / extérieur,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,AEE — Agriculture et Élevage,L3,5,Oui,,,,,
26/08/2026 14:41:38,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"Français / Littérature, Arts",2,2,3,2,"Rédaction / communication, Créativité / design, Travail en équipe",Art / design / audiovisuel,Association AJIRS,Mixte / peu importe,"Gestion / management, Création / design, Commerce / relation client, Recherche / enseignement, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,DTJA — Droit et Techniques Juridiques des Affaires,M2,5,Oui,,,,,
26/08/2026 14:53:45,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,C,"Physique-Chimie, Langues étrangères, Histoire-Géographie",1,2,3,2,"Organisation / gestion de projet, Travail en équipe, Autre","BTP / construction, Autre",,Terrain / extérieur,"Technique / ingénierie, Commerce / relation client",Étudiant(e) — ou diplômé(e) depuis peu,GCA — Génie Civil et Architecture,M2,3,Pas sûr(e),,,,,
26/08/2026 14:56:26,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Informatique / Technologie, Sport",4,3,2,1,"Programmation, Analyse de données / logique",Technologie / informatique,LudoNazy,Bureau,"Technique / ingénierie, Entrepreneur / indépendant",Étudiant(e) — ou diplômé(e) depuis peu,"IGGLIA — Informatique de Gestion, Génie Logiciel et IA",M2,4,Oui,,,,,
26/08/2026 15:03:15,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Informatique / Technologie, Français / Littérature",2,4,5,4,"Rédaction / communication, Travail en équipe","Technologie / informatique, Entrepreneuriat / business",non,Bureau,"Technique / ingénierie, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,IGGLIA,Développeur IA,3 à 7 ans,5,Pas sûr(e)
26/08/2026 15:07:16,D'accord ,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A1,"Français / Littérature, Histoire-Géographie, Sport",1,1,3,1,Travail en équipe,Droit / justice,Oui (association / Club),Terrain / extérieur,"Recherche / enseignement, Entrepreneur / indépendant",Professionnel(le) en activité,,,,,Droit,Pénitentiaire ,Moins de 3 ans,4,Oui — laquelle : ___
26/08/2026 15:14:13,ok,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,A2,"SVT, Français / Littérature, Langues étrangères, Sport",3,3,4,1,"Rédaction / communication, Créativité / design, Électronique / bricolage technique","Sciences, Art / design / audiovisuel",non,Mixte / peu importe,Entrepreneur / indépendant,Étudiant(e) — ou diplômé(e) depuis peu,IAA — Industries Agroalimentaires,M2,1,Non,,,,,
26/08/2026 15:21:38,,J'ai lu ce qui précède et j'accepte que mes réponses anonymes soient utilisées dans le cadre de ce projet académique.,D,"Mathématiques, Physique-Chimie, SVT",2,3,3,2,"Travail en équipe, Autre","Sciences, Agriculture / environnement, Santé / social, Droit / justice","Association, compétition ",Laboratoire,"Gestion / management, Commerce / relation client",Étudiant(e) — ou diplômé(e) depuis peu,Autre établissement — précisez la filière : ___,M2,4,Oui,,,,,
