id,serie_bac,note_maths,note_sciences,note_langues,note_eco,matieres_preferees,competences,interets,environnement,metiers_vises,filiere
syn-00024,C,5,4,2,3,Informatique / Technologie|Francais / Litterature|Economie / Gestion,Electronique / bricolage technique|Organisation / gestion de projet|Redaction / communication,Entrepreneuriat / business|Technologie / informatique|Sante / social,Mixte,Commerce / relation client,ISAIA
syn-00025,D,3,4,3,2,SVT|Mathematiques,Programmation|Travail en equipe|Electronique / bricolage technique,Sante / social|Communication / medias|Sciences,Mixte,Commerce / relation client|Gestion / management,PIP
syn-00026,Technique agricole,3,5,1,4,Arts|Francais / Litterature|Histoire-Geographie,Creativite / design|Redaction / communication,Tourisme / hotellerie|Communication / medias|Agriculture / environnement,Terrain / exterieur,Entrepreneur / independant,AEE
syn-00027,D,4,3,3,4,Arts|Informatique / Technologie,Electronique / bricolage technique|Programmation|Redaction / communication|Travail en equipe,Technologie / informatique|Agriculture / environnement,Bureau,Commerce / relation client|Entrepreneur / independant,IMTICIA
syn-00028,L,2,3,3,2,Francais / Litterature|Economie / Gestion,Programmation|Vente / negociation,Finance / comptabilite|Communication / medias|Entrepreneuriat / business,Terrain / exterieur,Gestion / management,CAA
syn-00029,L,2,2,4,3,Histoire-Geographie|Francais / Litterature|SVT,Redaction / communication|Creativite / design|Organisation / gestion de projet,Communication / medias|Tourisme / hotellerie,Bureau,Technique / ingenierie|Entrepreneur / independant,TEE
syn-00030,A1,4,1,5,3,Langues etrangeres|Sport,Programmation|Travail en equipe|Analyse de donnees / logique|Redaction / communication,Sciences|Communication / medias,Mixte,Gestion / management,TEH
syn-00031,L,2,3,3,4,Sport|Economie / Gestion|SVT,Programmation|Vente / negociation|Organisation / gestion de projet,Agriculture / environnement|Entrepreneuriat / business|Finance / comptabilite|BTP / construction,Terrain / exterieur,Creation / design,EMP
syn-00032,Technique genie civil,3,5,2,2,Informatique / Technologie|Histoire-Geographie|Economie / Gestion,Organisation / gestion de projet|Electronique / bricolage technique|Programmation|Vente / negociation,Sante / social|Tourisme / hotellerie,Mixte,Technique / ingenierie|Creation / design,EMP
syn-00033,Technique genie civil,3,3,3,2,Mathematiques|Francais / Litterature,Vente / negociation|Analyse de donnees / logique,Sciences|Finance / comptabilite|Droit / justice|Communication / medias,Bureau,Gestion / management,DTJA
syn-00034,Technique agricole,2,3,4,4,Economie / Gestion|Francais / Litterature|Physique-Chimie,Redaction / communication|Vente / negociation|Electronique / bricolage technique|Travail en equipe,Communication / medias|Finance / comptabilite|Droit / justice|Technologie / informatique,Terrain / exterieur,Creation / design|Technique / ingenierie,DTJA
syn-00035,D,4,3,3,3,Francais / Litterature|Arts,Redaction / communication|Creativite / design|Organisation / gestion de projet,Art / design / audiovisuel|Communication / medias,Bureau,Recherche / enseignement,IMTICIA
syn-00036,A2,3,3,3,2,Sport|Langues etrangeres,Analyse de donnees / logique|Organisation / gestion de projet|Redaction / communication,Finance / comptabilite|Sciences|BTP / construction,Terrain / exterieur,Commerce / relation client|Entrepreneur / independant,TEE
syn-00037,Technique agricole,4,2,3,3,Mathematiques|Arts|Sport,Electronique / bricolage technique|Analyse de donnees / logique,Art / design / audiovisuel|Sciences|Finance / comptabilite,Terrain / exterieur,Entrepreneur / independant,FIC
syn-00038,S,4,4,2,3,Informatique / Technologie|Histoire-Geographie,Programmation|Travail en equipe,Sante / social|Entrepreneuriat / business,Bureau,Recherche / enseignement|Technique / ingenierie,IGGLIA
syn-00039,S,2,3,3,3,Sport|Physique-Chimie,Organisation / gestion de projet|Electronique / bricolage technique|Analyse de donnees / logique|Vente / negociation,Sciences|BTP / construction,Laboratoire,Entrepreneur / independant|Commerce / relation client,IAA
syn-00040,S,5,4,2,3,Physique-Chimie|Economie / Gestion,Organisation / gestion de projet|Vente / negociation|Creativite / design,Sante / social|Finance / comptabilite|Tourisme / hotellerie|Communication / medias,Mixte,Technique / ingenierie|Gestion / management,FIC
syn-00041,C,4,4,2,3,Francais / Litterature|Arts,Redaction / communication|Organisation / gestion de projet|Creativite / design|Travail en equipe,Entrepreneuriat / business|Droit / justice|Art / design / audiovisuel,Atelier / usine,Technique / ingenierie,EMII
syn-00042,Technique agricole,2,3,2,4,Informatique / Technologie|Histoire-Geographie,Electronique / bricolage technique|Programmation,Agriculture / environnement|Art / design / audiovisuel|Tourisme / hotellerie|Droit / justice,Terrain / exterieur,Commerce / relation client|Gestion / management,EMP
syn-00043,S,5,2,3,3,Arts|Mathematiques|Economie / Gestion,Vente / negociation|Programmation|Creativite / design|Organisation / gestion de projet,Art / design / audiovisuel|Sciences,Bureau,Recherche / enseignement,ISAIA
syn-00044,D,3,1,2,2,Arts|Francais / Litterature|Informatique / Technologie,Electronique / bricolage technique|Organisation / gestion de projet,Droit / justice|Technologie / informatique,Terrain / exterieur,Commerce / relation client|Technique / ingenierie,IMTICIA
syn-00045,L,2,4,3,5,Informatique / Technologie|Mathematiques,Electronique / bricolage technique|Redaction / communication,Technologie / informatique|Entrepreneuriat / business,Mixte,Recherche / enseignement,CAA
syn-00046,S,4,3,3,3,Langues etrangeres|Mathematiques|Francais / Litterature,Creativite / design|Analyse de donnees / logique,Communication / medias|Entrepreneuriat / business,Terrain / exterieur,Commerce / relation client,ISAIA
syn-00047,Technique genie civil,2,3,3,3,Physique-Chimie|Francais / Litterature|Informatique / Technologie,Analyse de donnees / logique|Electronique / bricolage technique|Redaction / communication|Organisation / gestion de projet,Sciences|Technologie / informatique|BTP / construction|Droit / justice,Bureau,Technique / ingenierie,DTJA
syn-00048,A1,3,2,5,3,Sport|Francais / Litterature|Arts,Vente / negociation|Redaction / communication|Travail en equipe,Sante / social|Agriculture / environnement|Sciences,Laboratoire,Commerce / relation client,DTJA
syn-00049,A2,2,2,3,3,Francais / Litterature|Arts|Histoire-Geographie,Analyse de donnees / logique|Creativite / design,Technologie / informatique|Entrepreneuriat / business|Droit / justice,Terrain / exterieur,Entrepreneur / independant|Technique / ingenierie,DTJA
syn-00050,D,2,4,3,3,SVT|Histoire-Geographie|Economie / Gestion,Redaction / communication|Analyse de donnees / logique|Programmation,Droit / justice|Finance / comptabilite,Bureau,Recherche / enseignement|Commerce / relation client,DTJA
syn-00051,C,3,4,3,2,Langues etrangeres|Mathematiques,Redaction / communication|Vente / negociation|Analyse de donnees / logique,Tourisme / hotellerie|Agriculture / environnement|Sciences,Mixte,Creation / design,TEE
syn-00052,C,5,2,3,2,Arts|Physique-Chimie|Langues etrangeres,Redaction / communication|Vente / negociation|Organisation / gestion de projet|Analyse de donnees / logique,Sciences|Sante / social|Art / design / audiovisuel|Tourisme / hotellerie,Atelier / usine,Entrepreneur / independant|Creation / design,GCA
syn-00053,A1,4,3,2,3,Francais / Litterature|Economie / Gestion|Mathematiques,Creativite / design|Analyse de donnees / logique|Vente / negociation,Sante / social|Entrepreneuriat / business|Droit / justice,Terrain / exterieur,Technique / ingenierie|Creation / design,CAA
syn-00054,C,3,4,3,3,Sport|Informatique / Technologie|Economie / Gestion,Programmation|Travail en equipe|Vente / negociation,Sciences|Entrepreneuriat / business,Bureau,Commerce / relation client|Entrepreneur / independant,CAA
syn-00055,C,4,4,3,3,Physique-Chimie|Mathematiques,Electronique / bricolage technique|Analyse de donnees / logique|Travail en equipe,Sciences|Tourisme / hotellerie,Laboratoire,Technique / ingenierie,ICMP
syn-00056,L,2,3,4,3,Arts|Informatique / Technologie|Histoire-Geographie,Organisation / gestion de projet|Electronique / bricolage technique|Creativite / design,Tourisme / hotellerie|Communication / medias|Sciences|BTP / construction,Mixte,Recherche / enseignement,TEH
syn-00057,A2,2,2,4,3,Arts|Economie / Gestion|Mathematiques,Organisation / gestion de projet|Creativite / design,Finance / comptabilite|Entrepreneuriat / business|Droit / justice|Art / design / audiovisuel,Laboratoire,Recherche / enseignement|Entrepreneur / independant,EMP
syn-00058,L,2,4,4,3,SVT|Langues etrangeres|Histoire-Geographie,Electronique / bricolage technique|Travail en equipe|Organisation / gestion de projet,Sciences|Droit / justice|Entrepreneuriat / business,Mixte,Recherche / enseignement|Gestion / management,TEH
syn-00059,C,3,3,4,4,Francais / Litterature|Sport,Creativite / design|Redaction / communication|Travail en equipe,Art / design / audiovisuel|Technologie / informatique|Droit / justice,Atelier / usine,Commerce / relation client,DTJA
syn-00060,Technique industrielle,4,3,3,3,Sport|SVT,Travail en equipe|Creativite / design|Redaction / communication,Sante / social|Art / design / audiovisuel,Bureau,Gestion / management,ISAIA
syn-00061,S,4,3,3,4,Informatique / Technologie|SVT|Francais / Litterature,Redaction / communication|Programmation,Entrepreneuriat / business|Sante / social|Technologie / informatique,Atelier / usine,Technique / ingenierie,IGGLIA
syn-00062,C,3,4,4,2,Histoire-Geographie|Sport|Langues etrangeres,Travail en equipe|Organisation / gestion de projet|Creativite / design|Redaction / communication,Tourisme / hotellerie|Communication / medias,Terrain / exterieur,Technique / ingenierie,TEE
syn-00063,D,3,3,2,4,Histoire-Geographie|SVT|Mathematiques,Electronique / bricolage technique|Organisation / gestion de projet|Redaction / communication,Art / design / audiovisuel|Agriculture / environnement,Laboratoire,Entrepreneur / independant,CAA
syn-00064,Technique industrielle,4,4,3,1,Langues etrangeres|SVT,Travail en equipe|Redaction / communication,Agriculture / environnement|Sciences,Bureau,Entrepreneur / independant,TEE
syn-00065,S,3,4,3,4,Physique-Chimie|Mathematiques,Vente / negociation|Electronique / bricolage technique|Analyse de donnees / logique|Programmation,Sciences|Finance / comptabilite|Sante / social,Bureau,Gestion / management|Entrepreneur / independant,FIC
syn-00066,D,3,2,3,5,Sport|Arts,Creativite / design|Vente / negociation|Travail en equipe|Redaction / communication,Art / design / audiovisuel|Agriculture / environnement|Communication / medias,Mixte,Entrepreneur / independant|Technique / ingenierie,CAA
syn-00067,A1,2,3,3,3,Arts|SVT,Vente / negociation|Creativite / design|Redaction / communication|Travail en equipe,Art / design / audiovisuel|Sante / social|Sciences,Bureau,Recherche / enseignement,DTJA
syn-00068,Technique industrielle,3,2,2,3,Sport|Informatique / Technologie|Francais / Litterature,Travail en equipe|Vente / negociation|Programmation|Organisation / gestion de projet,Communication / medias|Finance / comptabilite|Technologie / informatique|Tourisme / hotellerie,Terrain / exterieur,Creation / design,IMTICIA
syn-00069,S,4,5,4,3,Economie / Gestion|Mathematiques,Programmation|Analyse de donnees / logique|Creativite / design|Vente / negociation,Art / design / audiovisuel|Technologie / informatique,Laboratoire,Technique / ingenierie|Recherche / enseignement,ISAIA
syn-00070,Technique industrielle,3,3,2,3,SVT|Histoire-Geographie,Electronique / bricolage technique|Analyse de donnees / logique|Creativite / design,Droit / justice|Tourisme / hotellerie|Sciences,Atelier / usine,Recherche / enseignement|Entrepreneur / independant,EMII
syn-00071,L,3,2,3,4,Informatique / Technologie|Sport,Travail en equipe|Creativite / design|Programmation|Analyse de donnees / logique,Sante / social|Art / design / audiovisuel|Technologie / informatique,Mixte,Technique / ingenierie|Creation / design,FIC
syn-00072,L,3,1,3,4,Mathematiques|Langues etrangeres|Arts,Creativite / design|Redaction / communication|Organisation / gestion de projet,Technologie / informatique|Finance / comptabilite|Droit / justice,Terrain / exterieur,Commerce / relation client|Gestion / management,FIC
syn-00073,D,2,5,3,4,Physique-Chimie|SVT|Langues etrangeres,Creativite / design|Redaction / communication|Programmation|Organisation / gestion de projet,Agriculture / environnement|BTP / construction,Mixte,Gestion / management,IAA
syn-00074,A2,4,1,5,3,Sport|Histoire-Geographie|Francais / Litterature,Redaction / communication|Analyse de donnees / logique|Organisation / gestion de projet|Travail en equipe,Droit / justice|Communication / medias|BTP / construction,Terrain / exterieur,Recherche / enseignement|Entrepreneur / independant,TEE
syn-00075,A2,2,5,4,4,Sport|Physique-Chimie,Analyse de donnees / logique|Travail en equipe|Programmation|Electronique / bricolage technique,Sciences|BTP / construction|Sante / social|Technologie / informatique,Mixte,Recherche / enseignement|Technique / ingenierie,EMP
syn-00076,C,4,4,2,4,Mathematiques|SVT,Analyse de donnees / logique|Vente / negociation|Programmation|Travail en equipe,Agriculture / environnement|Droit / justice|Sciences|Sante / social,Bureau,Gestion / management,ISAIA
syn-00077,D,2,3,2,3,Informatique / Technologie|SVT,Organisation / gestion de projet|Analyse de donnees / logique,Art / design / audiovisuel|Agriculture / environnement,Terrain / exterieur,Technique / ingenierie|Recherche / enseignement,IGGLIA
syn-00078,C,5,5,4,2,Informatique / Technologie|Francais / Litterature,Vente / negociation|Programmation,Sante / social|Technologie / informatique|Entrepreneuriat / business|Droit / justice,Bureau,Gestion / management|Technique / ingenierie,IGGLIA
syn-00079,D,4,3,2,3,Informatique / Technologie|Physique-Chimie,Programmation|Organisation / gestion de projet|Electronique / bricolage technique|Redaction / communication,Technologie / informatique|BTP / construction|Tourisme / hotellerie,Atelier / usine,Commerce / relation client,ESIIA
syn-00080,A2,2,4,4,4,Langues etrangeres|Arts,Redaction / communication|Creativite / design,Art / design / audiovisuel|Agriculture / environnement|Communication / medias|BTP / construction,Terrain / exterieur,Commerce / relation client,TEE
syn-00081,D,4,3,3,1,Informatique / Technologie|Sport,Programmation|Travail en equipe,Entrepreneuriat / business|Agriculture / environnement|Communication / medias|Technologie / informatique,Bureau,Recherche / enseignement,IGGLIA
syn-00082,D,2,3,4,5,Arts|Physique-Chimie|Economie / Gestion,Analyse de donnees / logique|Creativite / design,Agriculture / environnement|Communication / medias,Terrain / exterieur,Commerce / relation client|Gestion / management,CAA
syn-00083,S,4,3,3,2,Arts|Informatique / Technologie,Electronique / bricolage technique|Creativite / design|Programmation,Finance / comptabilite|Communication / medias|Art / design / audiovisuel,Terrain / exterieur,Entrepreneur / independant|Commerce / relation client,IMTICIA
syn-00084,S,4,3,3,3,SVT|Francais / Litterature|Arts,Programmation|Creativite / design,Agriculture / environnement|Finance / comptabilite|Tourisme / hotellerie|Sante / social,Bureau,Technique / ingenierie|Commerce / relation client,ISAIA
syn-00085,D,4,4,4,4,Histoire-Geographie|Langues etrangeres,Creativite / design|Programmation,Finance / comptabilite|Communication / medias|Art / design / audiovisuel|Sante / social,Mixte,Entrepreneur / independant|Technique / ingenierie,IMTICIA
syn-00086,S,3,3,4,3,SVT|Histoire-Geographie|Physique-Chimie,Analyse de donnees / logique|Programmation|Travail en equipe,Tourisme / hotellerie|Sciences,Terrain / exterieur,Commerce / relation client,TEH
syn-00087,Technique agricole,4,3,4,2,Francais / Litterature|Langues etrangeres|Informatique / Technologie,Redaction / communication|Creativite / design|Electronique / bricolage technique,Tourisme / hotellerie|Finance / comptabilite|Art / design / audiovisuel|Communication / medias,Bureau,Commerce / relation client,TEH
syn-00088,S,4,2,4,3,Mathematiques|SVT,Analyse de donnees / logique|Travail en equipe,Art / design / audiovisuel|Sante / social|Sciences|Finance / comptabilite,Mixte,Recherche / enseignement|Technique / ingenierie,ISAIA
syn-00089,C,3,4,3,5,SVT|Histoire-Geographie,Electronique / bricolage technique|Programmation,Tourisme / hotellerie|Communication / medias,Bureau,Commerce / relation client,TEH
syn-00090,S,3,4,2,4,Arts|Economie / Gestion|SVT,Organisation / gestion de projet|Programmation,Finance / comptabilite|BTP / construction,Atelier / usine,Creation / design,FIC
syn-00091,D,3,3,4,2,Physique-Chimie|Langues etrangeres|SVT,Travail en equipe|Electronique / bricolage technique|Analyse de donnees / logique,Sciences|Sante / social|BTP / construction,Laboratoire,Creation / design|Recherche / enseignement,PIP
syn-00092,D,3,3,3,3,Physique-Chimie|Economie / Gestion,Analyse de donnees / logique|Creativite / design,Entrepreneuriat / business|Sciences|Art / design / audiovisuel,Mixte,Gestion / management|Creation / design,IMTICIA
syn-00093,A2,2,1,3,3,Arts|Langues etrangeres|Francais / Litterature,Redaction / communication|Electronique / bricolage technique,Finance / comptabilite|Sciences,Mixte,Technique / ingenierie,TEE
syn-00094,D,2,3,2,3,Mathematiques|Sport|Francais / Litterature,Redaction / communication|Programmation|Travail en equipe|Analyse de donnees / logique,Droit / justice|Entrepreneuriat / business,Terrain / exterieur,Technique / ingenierie,DTJA
syn-00095,C,3,4,3,3,Langues etrangeres|Arts|SVT,Creativite / design|Redaction / communication|Analyse de donnees / logique|Organisation / gestion de projet,Technologie / informatique|BTP / construction,Bureau,Commerce / relation client|Recherche / enseignement,TEH
syn-00096,Technique agricole,4,4,3,5,Economie / Gestion|Histoire-Geographie|Sport,Vente / negociation|Organisation / gestion de projet,Tourisme / hotellerie|Art / design / audiovisuel|Entrepreneuriat / business|Droit / justice,Mixte,Commerce / relation client|Technique / ingenierie,CAA
syn-00097,A1,2,2,3,3,Arts|Economie / Gestion,Creativite / design|Travail en equipe,Art / design / audiovisuel|Finance / comptabilite|Entrepreneuriat / business,Mixte,Recherche / enseignement|Entrepreneur / independant,CAA
syn-00098,A2,4,2,5,3,SVT|Francais / Litterature,Redaction / communication|Organisation / gestion de projet|Travail en equipe|Programmation,Sciences|Communication / medias|Agriculture / environnement|Sante / social,Mixte,Creation / design|Gestion / management,DTJA
syn-00099,A1,2,3,4,3,Physique-Chimie|Mathematiques,Analyse de donnees / logique|Organisation / gestion de projet,Sciences|Finance / comptabilite,Terrain / exterieur,Commerce / relation client,TEE
syn-00100,A2,1,2,3,3,Economie / Gestion|Informatique / Technologie|Mathematiques,Organisation / gestion de projet|Electronique / bricolage technique|Programmation,Technologie / informatique|Sciences|BTP / construction,Atelier / usine,Gestion / management|Technique / ingenierie,FIC
syn-00101,C,5,4,3,4,Arts|Langues etrangeres,Organisation / gestion de projet|Creativite / design,Tourisme / hotellerie|Agriculture / environnement,Terrain / exterieur,Commerce / relation client,TEH
syn-00102,L,2,3,4,3,Sport|Francais / Litterature,Travail en equipe|Vente / negociation,Technologie / informatique|Entrepreneuriat / business,Atelier / usine,Entrepreneur / independant,CAA
syn-00103,L,2,5,4,3,Physique-Chimie|Langues etrangeres|Histoire-Geographie,Electronique / bricolage technique|Redaction / communication,BTP / construction|Droit / justice,Mixte,Gestion / management|Recherche / enseignement,DTJA
syn-00104,D,4,4,2,2,SVT|Francais / Litterature|Economie / Gestion,Travail en equipe|Redaction / communication,Droit / justice|Finance / comptabilite|BTP / construction,Bureau,Commerce / relation client|Technique / ingenierie,DTJA
syn-00105,Technique industrielle,2,4,2,3,Arts|SVT,Programmation|Creativite / design|Redaction / communication,Sante / social|Communication / medias|Tourisme / hotellerie,Bureau,Gestion / management,IMTICIA
syn-00106,D,4,3,2,3,Histoire-Geographie|Physique-Chimie,Organisation / gestion de projet|Electronique / bricolage technique|Travail en equipe,Technologie / informatique|Droit / justice|Tourisme / hotellerie|Agriculture / environnement,Bureau,Commerce / relation client|Entrepreneur / independant,EMII
syn-00107,S,3,5,4,2,SVT|Physique-Chimie|Mathematiques,Organisation / gestion de projet|Electronique / bricolage technique|Analyse de donnees / logique,Sante / social|Tourisme / hotellerie|Sciences|Agriculture / environnement,Bureau,Recherche / enseignement,PIP
syn-00108,S,3,2,3,2,Sport|Langues etrangeres|Informatique / Technologie,Travail en equipe|Electronique / bricolage technique,Entrepreneuriat / business|Communication / medias,Mixte,Entrepreneur / independant,TEH
syn-00109,S,4,4,4,2,Francais / Litterature|Arts,Creativite / design|Redaction / communication|Travail en equipe,Entrepreneuriat / business|Art / design / audiovisuel,Terrain / exterieur,Technique / ingenierie|Entrepreneur / independant,IMTICIA
syn-00110,A2,1,5,3,4,Sport|Informatique / Technologie|Mathematiques,Electronique / bricolage technique|Travail en equipe,Tourisme / hotellerie|Finance / comptabilite|Technologie / informatique,Bureau,Gestion / management,TEE
syn-00111,C,4,4,3,3,Physique-Chimie|Sport,Programmation|Analyse de donnees / logique|Travail en equipe,BTP / construction|Art / design / audiovisuel,Bureau,Recherche / enseignement|Commerce / relation client,ISAIA
syn-00112,S,4,2,3,3,Informatique / Technologie|Economie / Gestion,Organisation / gestion de projet|Vente / negociation|Electronique / bricolage technique|Programmation,Finance / comptabilite|Communication / medias,Bureau,Creation / design,FIC
syn-00113,S,5,1,2,4,Mathematiques|SVT|Histoire-Geographie,Vente / negociation|Travail en equipe|Redaction / communication|Analyse de donnees / logique,Entrepreneuriat / business|Sciences|Sante / social,Mixte,Creation / design|Recherche / enseignement,ISAIA
syn-00114,A2,4,1,4,3,Informatique / Technologie|Francais / Litterature|Arts,Organisation / gestion de projet|Electronique / bricolage technique|Programmation,Agriculture / environnement|Droit / justice|Tourisme / hotellerie|Technologie / informatique,Mixte,Recherche / enseignement|Commerce / relation client,DTJA
syn-00115,D,3,4,2,1,Sport|Francais / Litterature,Organisation / gestion de projet|Electronique / bricolage technique|Vente / negociation,BTP / construction|Finance / comptabilite|Communication / medias,Atelier / usine,Technique / ingenierie|Entrepreneur / independant,EMII
syn-00116,S,5,4,2,3,Informatique / Technologie|Arts,Programmation|Organisation / gestion de projet|Creativite / design,Tourisme / hotellerie|Technologie / informatique|Art / design / audiovisuel,Bureau,Recherche / enseignement,IMTICIA
syn-00117,Technique genie civil,2,2,2,2,Physique-Chimie|Arts|SVT,Creativite / design|Electronique / bricolage technique|Vente / negociation,Communication / medias|BTP / construction|Technologie / informatique|Sciences,Bureau,Technique / ingenierie|Recherche / enseignement,GCA
syn-00118,Technique industrielle,2,4,3,1,Mathematiques|Economie / Gestion|Francais / Litterature,Vente / negociation|Redaction / communication|Organisation / gestion de projet,Communication / medias|Sciences,Mixte,Creation / design,CAA
syn-00119,Technique industrielle,2,3,5,3,Histoire-Geographie|Sport|Langues etrangeres,Redaction / communication|Travail en equipe,Communication / medias|Agriculture / environnement|Droit / justice|Tourisme / hotellerie,Mixte,Recherche / enseignement|Commerce / relation client,TEH
syn-00120,D,4,3,2,1,Histoire-Geographie|Mathematiques|Physique-Chimie,Analyse de donnees / logique|Electronique / bricolage technique|Creativite / design,Sciences|Droit / justice|BTP / construction,Mixte,Gestion / management|Recherche / enseignement,GCA
syn-00121,C,3,2,1,4,Arts|Histoire-Geographie|Langues etrangeres,Travail en equipe|Redaction / communication|Analyse de donnees / logique|Organisation / gestion de projet,Droit / justice|Tourisme / hotellerie,Bureau,Creation / design,DTJA
